platform_id;certificate_id;issue_date;certificate_fee;course_name;online_date;certificate_name;certificate_type;course_id;course_info;student_id;student_dob;;;;;;;;;;;;;;;;;;;;
136;317;02/05/2025;750,26;Business Intelligence Foundations;04/04/2021;Supply Chain Analytics Certificate;advanced;67;"Prepares students to design dashboards and reports; requires basic numerical reasoning.";750824;01/02/1932;;;;;;;;;;;;;;;;;;;;
105;25;08/09/2025;61,03;Digital Marketing Analytics;04/08/2024;Cybersecurity Awareness Certificate;completion;;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts.";401777;03/02/1957;;;;;;;;;;;;;;;;;;;;
461;111;21/07/2026;303,72;Financial Modeling Essentials;11/06/2025;HR Analytics Certificate;specialization;;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge.";003699;27/02/1977;;;;;;;;;;;;;;;;;;;;
245;204;12/05/2028;39,86;Web Development Basics;28/05/2024;Cloud Fundamentals Certificate;completion;197;"Prepares students to understand front-end and back-end web concepts; requires basic computer literacy.";219082;18/09/1975;;;;;;;;;;;;;;;;;;;;
109;980;09/12/2024;671,08;HR Analytics;10/09/2021;Operations Excellence Certificate;advanced;;"Prepares students to analyze workforce and recruitment metrics; requires basic spreadsheet knowledge.";741365;01/08/1989;;;;;;;;;;;;;;;;;;;;
356;731;29/11/2031;238,95;Digital Marketing Analytics;22/09/2025;HR Analytics Certificate;specialization;;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts.";638925;12/11/2000;;;;;;;;;;;;;;;;;;;;
385;774;20/11/2031;535,68;Operations Management;06/02/2026;Agile Practitioner Certificate;professional;;"Prepares students to optimize workflows and resources; requires basic business knowledge.";393277;04/08/1937;;;;;;;;;;;;;;;;;;;;
27;98;22/03/2024;590,7;Industrial IoT Fundamentals;14/11/2021;Power BI Analyst Certificate;professional;;"Prepares students to understand sensors, connectivity, and monitoring systems; requires basic technical curiosity.";235212;11/05/1953;;;;;;;;;;;;;;;;;;;;
434;76;11/03/2024;120;Process Improvement Techniques;18/01/2024;Web Development Foundations Certificate;completion;;"Prepares students to improve processes using structured methods; requires analytical thinking.";641780;12/02/1929;;;;;;;;;;;;;;;;;;;;
29;584;01/04/2027;99,63;Customer Experience Analytics;14/10/2023;Cloud Fundamentals Certificate;completion;;"Prepares students to analyze customer satisfaction and service metrics; requires communication and spreadsheet skills.";805770;07/10/2003;;;;;;;;;;;;;;;;;;;;
71;143;02/08/2025;439,27;ERP Systems Introduction;12/02/2024;Project Management Certificate;professional;;"Prepares students to understand ERP workflows and organizational data; requires basic business process awareness.";174401;11/02/1979;;;;;;;;;;;;;;;;;;;;
328;408;19/10/2024;821,33;Data Visualization with Power BI;20/08/2024;Machine Learning Foundations Certificate;advanced;;"Prepares students to build business dashboards in Power BI; requires basic data handling skills.";220943;25/02/1961;;;;;;;;;;;;;;;;;;;;
89;467;03/12/2028;253,96;ERP Systems Introduction;12/06/2023;Digital Marketing Analyst;specialization;;"Prepares students to understand ERP workflows and organizational data; requires basic business process awareness.";779898;12/05/1993;;;;;;;;;;;;;;;;;;;;
453;130;07/12/2021;751,78;AI Tools for Productivity;10/04/2021;Industrial IoT Certificate;advanced;;"Prepares students to use modern AI tools responsibly in daily work; requires general digital literacy.";230681;09/04/1979;;;;;;;;;;;;;;;;;;;;
191;571;31/08/2023;313,52;Digital Marketing Analytics;11/08/2022;HR Analytics Certificate;specialization;;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts.";859275;11/05/1975;;;;;;;;;;;;;;;;;;;;
432;905;14/03/2024;37,81;Agile and Scrum Fundamentals;03/10/2023;Cybersecurity Awareness Certificate;completion;;"Prepares students to work in agile delivery environments; requires no prior agile certification.";004930;10/12/2007;;;;;;;;;;;;;;;;;;;;
177;347;03/03/2032;387,9;Cybersecurity Awareness;12/02/2024;Digital Marketing Analyst;specialization;156;"Prepares students to identify cyber risks and good security practices; requires no previous technical background.";295044;21/06/1974;;;;;;;;;;;;;;;;;;;;
248;188;21/06/2028;1400;Web Development Basics;11/11/2025;Machine Learning Foundations Certificate;advanced;137;"Prepares students to understand front-end and back-end web concepts; requires basic computer literacy.";414311;09/12/1940;;;;;;;;;;;;;;;;;;;;
369;94;07/12/2026;523,18;Financial Modeling Essentials;18/12/2024;Agile Practitioner Certificate;professional;;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge.";797626;26/05/1998;;;;;;;;;;;;;;;;;;;;
189;192;02/10/2027;65,52;Project Management Essentials;05/01/2023;Excel Professional Certificate;completion;64;"Prepares students to coordinate projects and teams; requires basic organizational and communication skills.";361098;14/06/1971;;;;;;;;;;;;;;;;;;;;
296;202;22/09/2030;301,1;Financial Modeling Essentials;01/02/2025;Business Analytics Certificate;specialization;190;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge.";635311;28/01/2003;;;;;;;;;;;;;;;;;;;;
376;568;22/04/2032;1285,86;Financial Modeling Essentials;11/04/2025;Machine Learning Foundations Certificate;advanced;;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge.";432675;23/12/1938;;;;;;;;;;;;;;;;;;;;
480;669;08/11/2029;513,3;Information Security Foundations;24/08/2024;Financial Modeling Certificate;professional;;"Prepares students to understand core information security principles; requires no prior security certification.";138066;04/06/1948;;;;;;;;;;;;;;;;;;;;
381;681;23/09/2024;797,32;Data Visualization with Power BI;07/05/2022;Data Professional;professional;49;"Prepares students to build business dashboards in Power BI; requires basic data handling skills.";577843;04/02/1983;;;;;;;;;;;;;;;;;;;;
116;25;10/07/2028;86,02;Cybersecurity Awareness;27/09/2025;Cybersecurity Awareness Certificate;completion;66;"Prepares students to identify cyber risks and good security practices; requires no previous technical background.";654573;09/07/2004;;;;;;;;;;;;;;;;;;;;
452;107;26/08/2025;450;Python for Business Analytics;15/05/2024;Digital Marketing Analyst;specialization;2;"Prepares students to analyze business data with Python; requires familiarity with spreadsheets and basic logic.";397620;22/05/1983;;;;;;;;;;;;;;;;;;;;
182;984;25/04/2025;64,62;Financial Modeling Essentials;02/06/2021;Cloud Fundamentals Certificate;completion;;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge.";728610;19/09/1985;;;;;;;;;;;;;;;;;;;;
120;395;28/05/2026;142,72;Industrial IoT Fundamentals;28/04/2022;Statistics for Business Certificate;specialization;101;"Prepares students to understand sensors, connectivity, and monitoring systems; requires basic technical curiosity.";992650;09/11/1942;;;;;;;;;;;;;;;;;;;;
167;233;07/03/2028;43,91;Operations Management;21/10/2025;Database Foundations Certificate;completion;;"Prepares students to optimize workflows and resources; requires basic business knowledge.";718886;05/04/1930;;;;;;;;;;;;;;;;;;;;
187;993;18/02/2031;72,8;Operations Management;08/07/2022;Database Foundations Certificate;completion;111;"Prepares students to optimize workflows and resources; requires basic business knowledge.";930378;17/06/1975;;;;;;;;;;;;;;;;;;;;
187;993;12/01/2030;103,89;Supply Chain Analytics;08/07/2022;Database Foundations Certificate;completion;168;"Prepares students to analyze logistics and operational performance; requires spreadsheet knowledge.";843470;12/07/1991;;;;;;;;;;;;;;;;;;;;
142;189;29/01/2024;457,6;Supply Chain Analytics;02/05/2021;Financial Modeling Certificate;professional;;"Prepares students to analyze logistics and operational performance; requires spreadsheet knowledge.";064499;02/09/1994;;;;;;;;;;;;;;;;;;;;
97;125;15/08/2033;66,87;Digital Marketing Analytics;13/01/2024;Cybersecurity Awareness Certificate;completion;8;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts.";989060;03/01/1996;;;;;;;;;;;;;;;;;;;;
83;512;17/11/2035;92,14;Customer Experience Analytics;19/01/2026;Excel Professional Certificate;completion;142;"Prepares students to analyze customer satisfaction and service metrics; requires communication and spreadsheet skills.";783467;16/01/2006;;;;;;;;;;;;;;;;;;;;
349;204;19/12/2033;51,72;Information Security Foundations;27/06/2025;Cloud Fundamentals Certificate;completion;;"Prepares students to understand core information security principles; requires no prior security certification.";257619;10/10/1926;;;;;;;;;;;;;;;;;;;;
37;86;03/06/2031;230,11;Project Management Essentials;20/07/2024;Business Intelligence Specialist;specialization;;"Prepares students to coordinate projects and teams; requires basic organizational and communication skills.";804498;07/03/1955;;;;;;;;;;;;;;;;;;;;
479;167;21/09/2028;189,39;Industrial IoT Fundamentals;01/09/2024;Digital Marketing Analyst;specialization;;"Prepares students to understand sensors, connectivity, and monitoring systems; requires basic technical curiosity.";806889;12/10/1952;;;;;;;;;;;;;;;;;;;;
318;851;16/02/2025;430,47;Operations Management;27/07/2024;HR Analytics Certificate;specialization;;"Prepares students to optimize workflows and resources; requires basic business knowledge.";736007;09/11/1983;;;;;;;;;;;;;;;;;;;;
379;318;09/02/2027;900;Agile and Scrum Fundamentals;24/12/2024;Power BI Analyst Certificate;professional;;"Prepares students to work in agile delivery environments; requires no prior agile certification.";498797;04/02/2004;;;;;;;;;;;;;;;;;;;;
155;173;04/08/2030;41,71;Risk Management Essentials;21/08/2022;Database Foundations Certificate;completion;113;"Prepares students to identify, assess, and report business risks; requires basic business literacy.";010092;03/10/1933;;;;;;;;;;;;;;;;;;;;
155;173;27/09/2029;68,98;SQL for Data Management;21/08/2022;Database Foundations Certificate;completion;153;"Prepares students to query and manage relational databases; requires no prior SQL experience.";364719;19/01/1936;;;;;;;;;;;;;;;;;;;;
281;181;15/06/2032;900;Operations Management;03/07/2025;Data Professional;professional;;"Prepares students to optimize workflows and resources; requires basic business knowledge.";717848;24/12/1921;;;;;;;;;;;;;;;;;;;;
127;570;06/11/2026;1034,77;Agile and Scrum Fundamentals;15/02/2024;Industrial IoT Certificate;advanced;105;"Prepares students to work in agile delivery environments; requires no prior agile certification.";171140;10/01/1984;;;;;;;;;;;;;;;;;;;;
239;444;07/09/2030;61,09;Excel for Professionals;30/04/2025;Cloud Fundamentals Certificate;completion;;"Prepares students to automate reporting and work with advanced formulas; requires basic Excel skills.";955871;25/03/1945;;;;;;;;;;;;;;;;;;;;
463;870;17/06/2031;523,87;Web Development Basics;18/10/2025;Industrial IoT Certificate;advanced;;"Prepares students to understand front-end and back-end web concepts; requires basic computer literacy.";232228;26/03/2000;;;;;;;;;;;;;;;;;;;;
433;941;14/04/2032;860,83;R for Data Analysis;07/02/2026;Data Professional;professional;86;"Prepares students to perform statistical analysis in R; requires basic statistics knowledge.";177901;15/10/1953;;;;;;;;;;;;;;;;;;;;
256;560;03/01/2026;1021,04;Supply Chain Analytics;19/11/2023;Operations Excellence Certificate;advanced;;"Prepares students to analyze logistics and operational performance; requires spreadsheet knowledge.";374783;16/11/2003;;;;;;;;;;;;;;;;;;;;
23;671;13/07/2022;170,19;HR Analytics;27/05/2022;HR Analytics Certificate;specialization;;"Prepares students to analyze workforce and recruitment metrics; requires basic spreadsheet knowledge.";731746;22/12/1957;;;;;;;;;;;;;;;;;;;;
158;390;04/08/2025;1364,93;ERP Systems Introduction;04/12/2023;Industrial IoT Certificate;advanced;;"Prepares students to understand ERP workflows and organizational data; requires basic business process awareness.";810348;14/03/1929;;;;;;;;;;;;;;;;;;;;
282;866;15/01/2024;162,77;Data Governance Fundamentals;06/11/2022;Business Intelligence Specialist;specialization;;"Prepares students to define standards for data quality and ownership; requires spreadsheet familiarity.";400283;09/01/1997;;;;;;;;;;;;;;;;;;;;
436;107;08/07/2023;263,83;Database Design Principles;15/01/2023;Digital Marketing Analyst;specialization;;"Prepares students to model business data structures; requires logical reasoning and basic computing knowledge.";295404;10/02/1932;;;;;;;;;;;;;;;;;;;;
456;1000;25/08/2022;820,39;Machine Learning Basics;10/04/2021;Operations Excellence Certificate;advanced;;"Prepares students to understand supervised learning workflows; requires statistics and Python basics.";386647;23/02/1960;;;;;;;;;;;;;;;;;;;;
90;920;31/01/2029;1400;Data Visualization with Power BI;09/12/2023;Operations Excellence Certificate;advanced;109;"Prepares students to build business dashboards in Power BI; requires basic data handling skills.";521889;18/03/1989;;;;;;;;;;;;;;;;;;;;
143;629;06/09/2034;524,79;Operations Management;19/06/2025;Financial Modeling Certificate;professional;141;"Prepares students to optimize workflows and resources; requires basic business knowledge.";328624;23/08/1980;;;;;;;;;;;;;;;;;;;;
218;240;24/11/2027;820,38;Data Governance Fundamentals;21/10/2025;Operations Excellence Certificate;advanced;;"Prepares students to define standards for data quality and ownership; requires spreadsheet familiarity.";438578;21/11/1939;;;;;;;;;;;;;;;;;;;;
281;635;20/04/2032;176,87;Risk Management Essentials;03/07/2025;Statistics for Business Certificate;specialization;;"Prepares students to identify, assess, and report business risks; requires basic business literacy.";795341;20/06/1921;;;;;;;;;;;;;;;;;;;;
398;926;03/05/2025;227,77;Financial Modeling Essentials;05/04/2025;Business Intelligence Specialist;specialization;;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge.";050610;07/11/1936;;;;;;;;;;;;;;;;;;;;
156;214;27/11/2033;431,95;Leadership in Digital Teams;29/12/2025;Agile Practitioner Certificate;professional;;"Prepares students to manage remote and digital teams effectively; requires workplace experience or interest.";745964;09/02/1940;;;;;;;;;;;;;;;;;;;;
207;568;11/04/2034;688,54;HR Analytics;08/12/2025;Machine Learning Foundations Certificate;advanced;42;"Prepares students to analyze workforce and recruitment metrics; requires basic spreadsheet knowledge.";037564;27/05/1991;;;;;;;;;;;;;;;;;;;;
207;568;28/03/2034;901,98;ERP Systems Introduction;08/12/2025;Machine Learning Foundations Certificate;advanced;179;"Prepares students to understand ERP workflows and organizational data; requires basic business process awareness.";457799;21/03/1941;;;;;;;;;;;;;;;;;;;;
37;133;25/07/2031;30,93;Python for Business Analytics;20/07/2024;Database Foundations Certificate;completion;;"Prepares students to analyze business data with Python; requires familiarity with spreadsheets and basic logic.";943595;10/08/1943;;;;;;;;;;;;;;;;;;;;
13;675;19/02/2030;167,99;Operations Management;17/02/2023;Statistics for Business Certificate;specialization;;"Prepares students to optimize workflows and resources; requires basic business knowledge.";513616;23/11/1997;;;;;;;;;;;;;;;;;;;;
425;179;14/07/2034;69,74;Digital Marketing Analytics;24/05/2025;AI Productivity Certificate;completion;;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts.";422986;12/11/1997;;;;;;;;;;;;;;;;;;;;
204;790;25/07/2033;939,02;AI Tools for Productivity;21/08/2023;Industrial IoT Certificate;advanced;20;"Prepares students to use modern AI tools responsibly in daily work; requires general digital literacy.";857705;03/03/1955;;;;;;;;;;;;;;;;;;;;
276;455;23/01/2029;262,64;Information Security Foundations;13/06/2022;Statistics for Business Certificate;specialization;145;"Prepares students to understand core information security principles; requires no prior security certification.";160818;01/05/1981;;;;;;;;;;;;;;;;;;;;
183;961;17/06/2032;566,85;Data Visualization with Power BI;15/01/2026;Data Professional;professional;;"Prepares students to build business dashboards in Power BI; requires basic data handling skills.";981224;09/07/1969;;;;;;;;;;;;;;;;;;;;
118;460;02/04/2032;779,93;Agile and Scrum Fundamentals;02/11/2025;Operations Excellence Certificate;advanced;165;"Prepares students to work in agile delivery environments; requires no prior agile certification.";414582;07/03/1920;;;;;;;;;;;;;;;;;;;;
200;802;16/11/2026;283,16;Customer Experience Analytics;08/05/2025;Business Analytics Certificate;specialization;;"Prepares students to analyze customer satisfaction and service metrics; requires communication and spreadsheet skills.";856044;20/03/1939;;;;;;;;;;;;;;;;;;;;
29;672;11/07/2032;84,4;Digital Marketing Analytics;14/10/2023;Excel Professional Certificate;completion;;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts.";332307;02/08/2000;;;;;;;;;;;;;;;;;;;;
29;275;14/12/2032;330,96;Information Security Foundations;14/10/2023;Statistics for Business Certificate;specialization;;"Prepares students to understand core information security principles; requires no prior security certification.";064576;03/04/1997;;;;;;;;;;;;;;;;;;;;
102;905;17/12/2033;56,97;Cloud Computing Basics;02/06/2025;Cybersecurity Awareness Certificate;completion;;"Prepares students to understand cloud service models and deployment basics; requires general IT literacy.";635119;09/03/1961;;;;;;;;;;;;;;;;;;;;
439;916;16/02/2031;99,87;Database Design Principles;20/01/2023;Web Development Foundations Certificate;completion;134;"Prepares students to model business data structures; requires logical reasoning and basic computing knowledge.";205894;26/08/1940;;;;;;;;;;;;;;;;;;;;
260;188;05/11/2024;950,88;Operations Management;20/09/2024;Machine Learning Foundations Certificate;advanced;;"Prepares students to optimize workflows and resources; requires basic business knowledge.";360416;23/05/1942;;;;;;;;;;;;;;;;;;;;
267;34;25/04/2033;885,05;Database Design Principles;04/10/2023;Agile Practitioner Certificate;professional;;"Prepares students to model business data structures; requires logical reasoning and basic computing knowledge.";504315;10/05/1960;;;;;;;;;;;;;;;;;;;;
104;31;01/08/2023;450;Digital Marketing Analytics;07/04/2021;HR Analytics Certificate;specialization;38;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts.";280341;28/06/1983;;;;;;;;;;;;;;;;;;;;
104;31;01/08/2023;172,01;R for Data Analysis;07/04/2021;HR Analytics Certificate;specialization;116;"Prepares students to perform statistical analysis in R; requires basic statistics knowledge.";227514;04/04/1971;;;;;;;;;;;;;;;;;;;;
179;132;08/09/2028;53,67;AI Tools for Productivity;28/09/2024;Excel Professional Certificate;completion;;"Prepares students to use modern AI tools responsibly in daily work; requires general digital literacy.";512116;07/01/1980;;;;;;;;;;;;;;;;;;;;
256;156;29/05/2025;96,38;Database Design Principles;19/11/2023;Web Development Foundations Certificate;completion;;"Prepares students to model business data structures; requires logical reasoning and basic computing knowledge.";130315;11/11/1968;;;;;;;;;;;;;;;;;;;;
454;725;20/07/2025;40,48;HR Analytics;24/03/2023;Cybersecurity Awareness Certificate;completion;;"Prepares students to analyze workforce and recruitment metrics; requires basic spreadsheet knowledge.";100097;26/11/1998;;;;;;;;;;;;;;;;;;;;
167;375;10/01/2034;450;Python for Business Analytics;21/10/2025;Statistics for Business Certificate;specialization;;"Prepares students to analyze business data with Python; requires familiarity with spreadsheets and basic logic.";606085;13/08/1937;;;;;;;;;;;;;;;;;;;;
293;695;06/11/2027;252,68;Data Analysis Fundamentals;14/09/2024;Statistics for Business Certificate;specialization;61;"Prepares students for entry-level data analysis roles; requires basic spreadsheet knowledge.";108858;11/06/1973;;;;;;;;;;;;;;;;;;;;
225;966;11/01/2025;348,54;Data Analysis Fundamentals;10/10/2023;Business Intelligence Specialist;specialization;181;"Prepares students for entry-level data analysis roles; requires basic spreadsheet knowledge.";411586;02/01/1999;;;;;;;;;;;;;;;;;;;;
274;770;03/08/2023;864,07;Database Design Principles;01/08/2023;Industrial IoT Certificate;advanced;;"Prepares students to model business data structures; requires logical reasoning and basic computing knowledge.";385233;04/05/1983;;;;;;;;;;;;;;;;;;;;
48;553;09/08/2032;44,53;Data Visualization with Power BI;28/09/2024;Database Foundations Certificate;completion;169;"Prepares students to build business dashboards in Power BI; requires basic data handling skills.";230382;09/01/1983;;;;;;;;;;;;;;;;;;;;
402;262;06/01/2023;412,37;Leadership in Digital Teams;04/03/2022;Business Analytics Certificate;specialization;;"Prepares students to manage remote and digital teams effectively; requires workplace experience or interest.";206769;03/02/1982;;;;;;;;;;;;;;;;;;;;
63;545;16/06/2030;120;AI Tools for Productivity;12/03/2022;Cybersecurity Awareness Certificate;completion;80;"Prepares students to use modern AI tools responsibly in daily work; requires general digital literacy.";124331;24/08/1957;;;;;;;;;;;;;;;;;;;;
314;128;19/01/2022;751,55;Statistics for Decision Making;04/10/2021;Machine Learning Foundations Certificate;advanced;;"Prepares students to use descriptive statistics for decision making; requires basic mathematics.";062793;19/07/1941;;;;;;;;;;;;;;;;;;;;
67;381;12/06/2024;513,65;Information Security Foundations;28/11/2021;Data Professional;professional;85;"Prepares students to understand core information security principles; requires no prior security certification.";934530;28/08/1983;;;;;;;;;;;;;;;;;;;;
128;201;14/01/2023;250;Project Management Essentials;30/06/2021;Data Professional;professional;;"Prepares students to coordinate projects and teams; requires basic organizational and communication skills.";873150;06/05/1923;;;;;;;;;;;;;;;;;;;;
237;63;05/01/2028;900;Leadership in Digital Teams;10/01/2025;Project Management Certificate;professional;;"Prepares students to manage remote and digital teams effectively; requires workplace experience or interest.";757917;01/06/1982;;;;;;;;;;;;;;;;;;;;
